habitatID,habitatLevel,habitatType,habitatDetails
G3.425,5,Eastern Alpine acidophilous Scots pine woods,"Acidophilous [Pinus sylvestris] woods of the collinar and montane levels of the eastern Alps, of the northeastern Dinarides and of adjacent pre-Pannonic and Pannonic hill ranges, mostly subclimactic or anthropogenic, distributed in Lower Austria, Styria, the Burgenland, Slovenia, the pre-Noric hills and the edge of the Bakony Range in western Hungary."
G3.43,4,Inner-Alpine restharrow ([Ononis]) steppe forests,"Xerophile, often calcicolous, open [Pinus sylvestris] or [Pinus sylvestris] and [Pinus uncinata] forests of the montane level of inner Alpine valleys submitted to extreme continental climate (upper Durance, Ubaye, upper Tin‚e, Val di Susa, Maurienne, Val d'Aoste, Alto Adige (Val Venosta), Upper Engadine, Vintschgau, Virgental), rich in leguminous plants such as [Ononis rotundifolia], [Ononis cenisia], [Astragalus austriacus], [Astragalus purpureus], [Coronilla minima], [Onobrychis saxatilis] and with a shrub layer comprising [Juniperus communis], [Juniperus sabina], [Berberis vulgaris], [Amelanchier ovalis]. "
G3.44,4,Spring heath Scots pine forests,"Mesophile, mostly calcicolous, [Pinus sylvestris] forests of the intermediate Alps, the inner Alps, the northern and southeastern outer Alps, with outposts in northern peri-Alpine areas, in the Jura and in the Carpathians, generally characterised by the presence of [Erica herbacea]."
G3.441,5,Alpine spring heath Scots pine forests,"Mesophile, mostly calcicolous, [Pinus sylvestris] forests of the intermediate Alps, and, locally, of the inner Alps, the northern, eastern and southeastern outer Alps, the Bavarian plateau, the serpentines of northern Bavaria, Bohemia, the Lake Constance area, the Baar plateau and the Jura, generally characterised by the presence of [Erica herbacea], accompanied by [Juniperus communis], [Berberis vulgaris], [Sorbus aria], [Amelanchier ovalis], [Lembotropis nigricans], [Chamaecytisus supinus], [Polygala chamaebuxus], [Goodyera repens], [Pyrola chlorantha], [Epipactis atrorubens], [Melampyrum pratense], [Melampyrum sylvaticum], [Carex alba], [Carex ornithopoda], [Carex humilis], [Carex flacca], [Molinia caerulea], [Calamagrostis varia], [Sesleria albicans]. They include numerous variants, as indicated in part by the associations listed above, most of them with [Erica herbacea], and could be further subdivided. Communities of the intermediate Alps and neighbouring regions form the core of the unit and are adapted to a variety of fairly oligotrophic substrates, mostly calcareous, but occasionally siliceous, with a northern or intermediate exposure. In inner Alpine valleys they occur on less dry sites and usually at higher altitudes than the forests of units G3.43 and G3.45. Isolated, edaphically specialised communities occupy dolomites and serpentines of the northeastern Alps, of adjacent external ranges and of the Bavarian plateau, with or without [Erica herbacea]."
G3.442,5,Carpathian relict calcicolous Scots pine forests,"Isolated, calcicolous [Pinus sylvestris] forests of the western Carpathians, related to the spring heath Scots pine forests of the Alpine area, limited to a few small enclaves in the Strazov mountains, the Velka Fatra, the Pienini ([Pinus sylvestris]-[Calamagrostis varia] community, [Pinus sylvestris]-[Carex alba] community), the Slovakian inner-Carpathian basins and the Slovakian Erzgebirge. [Erica herbacea] and [Polygala chamaebuxus] are absent; the undergrowth includes a number of species of continental distribution and xerothermic affinities, some, western Carpathian endemics; characteristic are [Linum flavum], [Carex humilis], [Carex alba], [Calamagrostis varia], [Pulsatilla slavica], [Thymus carpathicus], [Primula auricula ssp. hungarica], [Globularia aphyllanthes], [Campanula carpatica], [Festuca tatrae]."
G3.45,4,Inner Alpine sandwort ([Minuartia]) steppe forests,"Xerophile, acidophilous, [Pinus sylvestris] forests of the montane level of southwestern inner Alpine valleys (Maurienne, Guisane, Dora-Riparia, Chisone) where they replace the formations of the [Ononido-Pinion] on strongly siliceous sunny slopes (adrets), with [Deschampsia flexuosa] and [Minuartia laricifolia] dominant. "
G3.46,4,Pyrenean mesophile Scots pine forests,"Montane, mossy [Pinus sylvestris] forests of the Pyrenees; characteristic of regions with a moderately dry, sunny climate, they occur, at all exposures but mostly on ubacs (north facing  slopes), in a wide belt on the south flank of the range, with limited outposts on the north flank. Characteristic is the abundance of wintergreens ([Pyrola chlorantha], [Pyrola minor], [Moneses uniflora], [Orthilia secunda]) and of mosses ([Hylocomium splendens], [Rhytidiadelphus triquetrus], [Pleurozium schreberi]); [Vaccinium myrtillus], [Luzula nivea], [Hepatica nobilis] are usually present. "
G3.461,5,Pyrenean calcicolous mesophile Scots pine forests,"Calcicolous formations of [Pinus sylvestris] with [Sorbus aria], [Amelanchier ovalis], [Ribes alpinum], [Prunus mahaleb], [Cotoneaster integerrimus], [Polygala calcarea], [Helleborus foetidus], [Valeriana montana], [Festuca gautieri]. "
G3.462,5,Pyrenean siliceous mesophile Scots pine forests,"Silicicolous formations of [Pinus sylvestris] with [Sorbus aucuparia], [Salix caprea], [Calluna vulgaris], [Galium rotundifolium], [Melampyrum sylvaticum], [Melampyrum pratense], [Lathyrus linifolius] ([Lathyrus montanus]), [Potentilla erecta], [Helleborus viridis ssp. occidentalis], [Deschampsia flexuosa]."
G3.47,4,Central Massif Scots pine forests,"Montane [Pinus sylvestris] forests of interior, relatively dry, regions of the Central Massif in the upper Loire basin (Velay and neighbouring regions) and the Causse M‚jean. "
G3.48,4,Southwestern Alpine mesophile Scots pine forests,"Mesophile montane forests with wintergreens occupying a broad belt on the southwestern flank of the Alps from the Dauphiné to the Maritime Alps, differentiated from the forests of unit G3.44 by the absence of [Erica herbacea]; the undergrowh usually comprises [Arctostaphylos uva-ursi], [Centaurea scabiosa], [Tolpis staticifolia] ([Hieracium staticifolium]), [Calluna vulgaris], [Polygala chamaebuxus], [Monotropa hypopitys], [Goodyera repens], [Epipactis atrorubens], [Neottia nidus-avis]."
G3.49,4,Supra-Mediterranean Scots pine forests,"[Pinus sylvestris]-dominated facies of the thermophilous, supra-Mediterranean oak woods (unit G1.7), alternated, mixed or imbricated with [Quercus pubescens] or [Quercus faginea] woods in the southwestern Alpine foothills, on the periphery of the Central Massif, along the southern flank of the Pyrenees and, locally, in the Ligurian and Insubrian Alps, in the western Alps of the northern Dauphiné‚ and Savoie, in the northern Apennines and on the northern flank of the Pyrenees. [Buxus sempervirens] is usually abundant in the undergrowth; other components of the shrub layer include [Corylus avellana], [Sorbus aria], [Sorbus torminalis], [Acer opalus], [Acer campestre], [Acer monspessulanum], [Euonymus latifolius], [Genista cinerea], [Juniperus communis]."
G3.4A,4,Iberian calcareous Scots pine woods,"Montane and oro-Mediterranean, xerocline, calcicolous [Pinus sylvestris] forests of the Iberian Range, the Baetic ranges and the southern flank of the Pyrenees. "
G3.4A1,5,Pyrenean hedgehog-heath Scots pine woods,"Woods or prewoods of sunny slopes (adrets) in the montane level of calcareous ranges of the southern flank of the central Pyrenees, with usually low and contorted [Pinus sylvestris] accompanied by a hedgehog-heath (cf. unit F7.4) of [Echinospartum horridum], [Buxus sempervirens], [Juniperus hemisphaerica]. "
G3.4A2,5,Savin Scots pine forests,"Oro-Mediterranean, calcicolous [Pinus sylvestris] forests of the Iberian Range and the Baetic ranges, often fairly open, and with a shrub layer that includes the prostrate [Juniperus sabina]. "
G3.4A21,6,Iberian-Range calcicolous Scots pine forests,"Oro-Mediterranean, calcicolous forests of [Pinus sylvestris var. iberica] of the Southern Iberian Range (Maestrazgo: Gudar, Jabalambre, Penyagolosa; serrania de Cuenca: sierra de San Felipe, Montes Universales), with a shrub layer constituted mainly by [Juniperus sabina]; secondary calcicolous Scots pine formations of lower altitude in the Iberian Range."
G3.4A22,6,Baetic calcicolous Scots pine forests,"Oro-Mediterranean forests of [Pinus sylvestris var. nevadensis] of the Baetic ranges, Sierra Magina, Sierra de Baza, Sierra Tejeda, Sierra del Trevenque (calcareous periphery of the Sierra Nevada), with a shrub layer of [Juniperus sabina] and [Juniperus nana] accompanied by [Ononis aragonensis], [Genista lobelii ssp. longipes], [Daphne oleoides] and [Prunus prostrata], on limestones and dolomites."
G3.4B,4,Iberian silicicolous Scots pine forests,"Montane and oro-Mediterranean, xerocline, silicicolous [Pinus sylvestris] forests of the Iberian Range, the Cordillera Central and the southern flank of the Pyrenees."
G3.4B1,5,Pyrenean xerophile Scots pine forests,"Montane and lower subalpine [Pinus sylvestris] or [Pinus sylvestris] and [Pinus uncinata] forests of dry sunny slopes (adrets) of the southern flanks of the Pyrenees and of the Val d'Aran, with a shrub layer comprising [Juniperus hemisphaerica], [Cytisus purgans], [Buxus sempervirens] and an herb layer dominated by [Deschampsia flexuosa], accompanied by, among others, [Veronica officinalis]. "
G3.4B2,5,Iberian-Range silicicolous Scots pine forests,[Pinus sylvestris] forests of siliceous ground in the oro- and supra-Mediterranean levels of the Northern and Southern Iberian Ranges. 
G3.4B3,5,Cordilleran silicicolous Scots pine forests,[Pinus sylvestris] forests of siliceous ground in the oro- and supra-Mediterranean levels of the Cordillera Central. 
G3.4B31,6,Summital Guadarraman silicicolous Scots pine forests,"Oro-Mediterranean, summital, silicicolous forests of [Pinus sylvestris var. iberica] of the Sierra de Guadarrama, with [Juniperus nana]."
G3.4B32,6,Lower Cordilleran silicicolous Scots pine forests,"Supra-Mediterranean [Pinus sylvestris var. iberica] woods of the Cordillera Central (Guadarrama, Gredos), forming in particular as a substitution stage of [Quercus pyrenaica] woodland of which they largely retain the accompanying flora."
G3.4B4,5,Cantabrian Scots pine forests,"Isolated [Pinus sylvestris] forests of the Cantabrian mountain system, in the Cordillera Cantabrica, the Montes de Leon and the Serra do Geres. "
G3.4C,4,Southeastern European Scots pine forests,"[Pinus sylvestris] forests of the eastern Carpathians and of the mountains of the Balkan peninsula, south to northern Greece, formed by the largely isolated, disjunct, southeastern forms ([Pinus sylvestris var. rhodopaea], [Pinus sylvestris var. illyrica], [Pinus sylvestris var. romanica]) of [Pinus sylvestris ssp. sylvestris], and often limited to azonal edaphic enclaves."
G3.4C1,5,Thessalo-Macedonian Scots pine forests,"[Pinus sylvestris] forests of the mountains of northern Greece (Pieria, Olympus, Vermion, Voras, La‹la, Elatia range), often with [Acer pseudoplatanus], [Sorbus aucuparia], and sometimes [Fagus sylvatica] or [Picea abies] in the tree layer and with [Vaccinium myrtillus] and [Rubus idaeus] in the shrub layer. "
G3.4C2,5,Rhodopide Scots pine forests,"[Pinus sylvestris] forests of Vitosha, the Rila, the Pirin and the Rhodope."
G3.4C3,5,Balkan Range Scots pine forests,[Pinus sylvestris] forests of the Balkan Range.
G3.4C4,5,Southwestern Moesian Scots pine forests,"[Pinus sylvestris] forests of the Pelagonides and Moeso-Macedonian mountains of the F.Y.R. of Macedonia and Bulgaria, in particular of ultra-basic trachytes and andesites."
G3.4C41,6,Moeso-Macedonian Scots pine forests,"[Pinus sylvestris] forests of the Moeso-Macedonian mountains of western Bulgaria, and of trachytes and andesites of the Moeso-Macedonian mountains of the F.Y.R. of Macedonia, in the Bregalnica basin. "
G3.4C42,6,Pelagonian Scots pine forests,"[Pinus sylvestris] forests of trachytes and andesites of the Pelagonides of the F.Y.R. of Macedonia, in the Mavrovo range. "
G3.4C5,5,Dinaric spring heath Scots pine forests,"Thermophile [Pinus sylvestris] woods of serpentines, dolomites and dolomite rendzinas of the Dinarides of Slovenia, Croatia, Bosnia-Herzegovina and western and southern Serbia, with [Erica herbacea] ([Erica carnea]), [Galium lucidum], [Aquilegia vulgaris]."
G3.4C51,6,Dinaric serpentine Scots pine forests,"[Pinus sylvestris] woods of serpentines of the Dinarides of Bosnia-Herzegovina and western and southern Serbia, with [Daphne blagayana], [Rosa pendulina], [Erica herbacea] ([Erica carnea]), [Galium lucidum], [Laserpitium krapfii], [Vicia villosa], [Symphytum tuberosum], [Erythronium dens-canis], [Pteridium aquilinum] and the serpentine plants [Asplenium cuneifolium ssp. serpentini], [Campanula cervicaria], [Crocus veluchensis], [Stachys scardica]. They are developed within the Illyrian and Moesian beech forest zones and generally occupy higher elevations and deeper soils than the serpentine [Pinus nigra] woods of unit G3.5212."
